rakuon	203	8628	ニコニコ動画にて公開中！	10879
rakuon	203	9532	CM公開！草の根活動中！	11896
ras	229	9512	第79回	11877
ras	229	9514	第80回	11904
ras	229	9515	第81回	11955
ras	229	9579	第82回	11994
ras	229	9580	第83回	12032
rebirth	252	9504	第10回	11870
rebirth	252	9545	第11回	11910
rebirth	252	9571	第12回	11944
rebirth	252	9602	第13回	11984
rebirth	252	9633	第14回	12022
revuestarlight	199	9499	第117回	11863
revuestarlight	199	9522	第118回	11888
revuestarlight	199	9563	第119回	11936
revuestarlight	199	9600	第120回	11977
revuestarlight	199	9621	第121回	12006
rf-vg	209	7833	第69回（最終回）	9965
rgr	178	9341	第25回	11660
share	94	9491	第99回	11854
share	94	9646	第100回（最終回）	12037
shiroben	188	9507	第66回	11873
shiroben	188	9572	第67回	11946
shiroben	188	9632	第68回	12023
shumijin-radio	268	9503	第14回	11871
shumijin-radio	268	9535	第15回	11902
shumijin-radio	268	9570	第16回	11943
shumijin-radio	268	9605	第17回	11988
shumijin-radio	268	9630	第18回	12019
siegfeld	230	9498	第74回	11868
siegfeld	230	9526	第75回	11890
siegfeld	230	9564	第76回	11937
siegfeld	230	9595	第77回	11972
siegfeld	230	9626	第78回	12016
skdw	272	9510	第7回	11875
skdw	272	9576	第8回	11950
skdw	272	9637	第9回	12026
sora	130	9520	第194回	11884
sora	130	9559	第195回	11928
sora	130	9585	第196回	11961
sora	130	9614	第197回	11998
sora	130	9644	第198回	12035
ssp	245	8080	第6回	10257
stapa	89	7262	第38回（最終回）	9280
symphogear	244	9525	第88回	11889
symphogear	244	9589	第89回	11966
symphogear	244	9652	第90回	12043
tsunradi	236	9479	第63回	11834
tsunradi	236	9548	第64回	11913
tsunradi	236	9608	第65回	11990
workssezu	23	9006	第260回	11325
wts	239	9496	第29回	11857
wts	239	9552	第30回	11921
wts	239	9628	第31回	12018
wug	100	6621	第124回(最終回)	8502
yayasuki	271	9469	第6回	11817
yayasuki	271	9518	第7回	11882
yayasuki	271	9590	第8回	11968
yuzuradi	204	8978	単独チャンネル開設！！	11284
